album,titulo,letra,compositor,artista
"{'titulo_album': 'Pérolas', 'ano': '2000'}",Balada Triste,"Balada triste que me faz lembrar alguém
Alguém que existe e que outrora foi meu bem
Balada triste melodia do meu drama
Esse alguém já não me ama
Esqueceu você também
Não há mais nada
Foi um sonho que findou
Triste balada só você me acompanhou
Fica comigo velha amiga e companheira
Vou cantá-la a vida inteira
Pra lembrar o que passou
Não há mais nada
Foi um sonho que findou
Triste balada só você me acompanhou
Fica comigo velha amiga e companheira
Vou cantá-la a vida inteira
Pra lembrar o que passou
",Composição:  Dalton Vogeler / Esdras Silva · ,Agostinho dos Santos
"{'titulo_album': 'Copacabana', 'ano': '2003'}",Sábado em Copacabana,"Depois de trabalhar toda a semana
Meu sábado não vou desperdiçar
Já fiz o meu programa pra essa noite
E já sei por onde começar 
Um bom lugar, pra se encontrar, Copacabana
Pra passear, à beira-mar, Copacabana
Depois um bar à meia-luz, Copacabana
Eu esperei por esta noite uma semana
Um bom jantar, depois dançar, Copacabana
Pra se amar, um só lugar, Copacabana 
A noite passa tão depressa
Mas vou voltar lá pra semana
Se encontrar um novo amor
Copacabana
",Composição:  ,Trovadores Urbanos
"{'titulo_album': 'Copacabana', 'ano': '2003'}",Caminhemos,"Não, eu não posso lembrar que te amei
Não, eu preciso esquecer que sofri
Faça de conta que o tempo passou
E que tudo entre nós terminou
E que a vida não continuou pra nós dois
Caminhemos, talvez nos vejamos depois
Vida comprida, estrada alongada
Pano à procura de alguém
Ou à procura de nada...
Vou indo, caminhando
Sem saber onde chegar
Talvez que na volta
Te encontre no mesmo lugar
",Composição:  Herivelto Martins · ,Trovadores Urbanos
"{'titulo_album': 'Copacabana', 'ano': '2003'}",Zum Zum,"Oi zum, zum, zum
Zum, zum, zum, zum
Tá faltando um
Bateu asa, foi embora, desapareceu
Nos vamos sair sem ele
Foi a ordem que ele deu
Oi zum, zum, zum
Zum, zum, zum, zum
Tá faltando um
Ele que era o porta-estandarte
E que fazia alaúza e zum zum
Hoje o bloco sai mais triste sem ele
Tá faltando um
",Composição:  ,Trovadores Urbanos
"{'titulo_album': 'Copacabana', 'ano': '2003'}",Nossos Momentos,"Momentos são iguais àqueles
Em que eu te amei
Palavras são iguais àquelas
Que eu te dediquei
Eu escrevi na fria areia
Um nome para amar
O mar chegou, tudo apagou
Palavras leva o mar
Teu coração praia distante
Em meu perdido olhar
Teu coração, mais inconstante
Que a incerteza do mar
Meu castelo de carinhos
Eu nem pude terminar
Momentos meus que foram teus
Agora é recordar..
",Composição:  ,Trovadores Urbanos
"{'titulo_album': 'Bossa Balanço Balada', 'ano': '2002'}",Insensatez,"A insensatez que você fez
Coração mais sem cuidado
Fez chorar de dor
O seu amor
Um amor tão delicado
Ah, porque você foi fraco assim
Assim tão desalmado
Ah, meu coração quem nunca amou
Não merece ser amado
Vai meu coração ouve a razão
Usa só sinceridade
Quem semeia vento, diz a razão
Colhe sempre tempestade
Vai, meu coração pede perdão
Perdão apaixonado
Vai porque quem não
Pede perdão
Não é nunca perdoado
",Composição:  Antonio Carlos Jobim / Vinícius de Moraes · ,Sylvia Telles
"{'titulo_album': 'Bossa Balanço Balada', 'ano': '2002'}",Você,"Você, manhã de todo meu
Você, que cedo entardeceu
Você, de quem a vida eu sou
E sei, mas eu serei
Você, um beijo bom de sol
Você, em cada tarde vã
Virá sorrindo de manhã
Você, um riso lindo a luz
Você, a paz dos céus azuis
Você, sereno bem de amor em mim
Você, tristeza que eu criei
Sonhei, você pra mim
Vem mais pra mim, mais só
",Composição:  Ray Gilbert / Roberto Menescal · ,Sylvia Telles
"{'titulo_album': 'The Music of by Mr.Jobim', 'ano': '2003'}",Eu Preciso de Você,"Como o sol precisa de um poente
Eu preciso de você, só de você
Como toda orquestra de um regente
Eu preciso de você, só de você
Como a flor precisa de perfume
E a mulher de ter ciúme
Quando o seu amor não vê
Preciso tanto de você
Como a noite busca a madrugada
Eu preciso de você, só de você
Se o poeta busca a bem amada
Eu preciso de você, só de você
Só você não sabe a solidão
De tão imensa é uma doença
Que me deu no coração
Se o ateu precisa de uma crença
Eu preciso de você
",Composição:  Aloysio de Oliveira / Antonio Carlos Jobim · ,Sylvia Telles
"{'titulo_album': 'Espetacular', 'ano': '1958'}",Ravina,"Além do azul do firmamento
Vai te encontrar meu pensamento
Além dessa corrida que ouviu
Tua boca murmurar feliz
Dizer és meu amor a vida
Fonte de luz, porque te faz assim
Por que não brilhas como outrora
Tu és minha esperança e fim
O amor que entre sombras perdi um bem
Doendo mais que a dor
De um sonho desfeito enfim
",Composição:  Henrique Simonetti / O. Carvalho Da Silva · ,Agostinho dos Santos
"{'titulo_album': 'Espetacular', 'ano': '1958'}","Nem Sol, Nem Paz, Nem Você","Eu entendo os seus olhos
Dizendo outra vez
Que não há mais amor para mim
Uma noite faz tempo
Também me falaram assim
Mas depois
A luz clara do sol
Os seus olhos, me viram passar
E na glória da tarde de paz
Me deixarão voltar
Desta vez
Adivinhe em seus olhos
A sombra cinzenta
Da nuvem ruim
A dizer, que não há esperança
De sol para mim
A ternura, que guardo comigo
Vou vendê-la a qualquer inimigo
Não, não quero guardá-la porque
Vai lembrar-me, você
",Composição:  Fernando Cezar / Otello Zuccolo · ,Agostinho dos Santos
